epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
92,15572.6,1.25397,2.88556,1.09198,0.81385,0.6944,0.75433,0.50783,1.00642,2.59311,0.96136,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,15736.9,1.25011,2.8749,1.09363,0.81702,0.70263,0.75105,0.5096,0.99994,2.57738,0.96026,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,15899.7,1.25072,2.85569,1.09199,0.78586,0.69833,0.73481,0.50991,0.99819,2.54753,0.96123,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
95,16062.8,1.24388,2.81048,1.0871,0.82701,0.69996,0.7424,0.50809,0.99546,2.54038,0.96177,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318
96,16225.7,1.23413,2.82507,1.08738,0.78705,0.69588,0.72824,0.50292,0.99098,2.55394,0.9611,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
97,16388.6,1.2368,2.82044,1.08711,0.78291,0.73536,0.73887,0.51106,0.98975,2.58291,0.95876,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
98,16551.7,1.23982,2.80213,1.08612,0.74915,0.74255,0.74338,0.51195,0.99379,2.58375,0.95745,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906
99,16714.7,1.22969,2.7658,1.08145,0.80422,0.73854,0.74656,0.51481,0.98932,2.56676,0.95512,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668
100,16877.6,1.22408,2.75068,1.08105,0.8254,0.72438,0.74707,0.51431,0.98497,2.5806,0.95452,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
101,17040.9,1.23384,2.77628,1.08373,0.83723,0.70268,0.74506,0.50911,0.98462,2.58416,0.95565,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
102,17204.2,1.24351,2.79458,1.08849,0.8245,0.70942,0.74905,0.51193,0.9834,2.56865,0.95529,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577
103,17366.8,1.24338,2.81224,1.08921,0.77764,0.73603,0.73411,0.50813,0.97924,2.54484,0.95154,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
104,17531.7,1.22628,2.75359,1.08046,0.80238,0.72387,0.74827,0.51118,0.97532,2.55404,0.9495,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071
105,17696.6,1.23606,2.7966,1.08708,0.81868,0.70705,0.74552,0.51271,0.97751,2.57375,0.95125,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497
106,17860.5,1.2268,2.76246,1.08402,0.82108,0.70985,0.74614,0.51185,0.9772,2.59027,0.95277,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
107,18024.8,1.2239,2.72758,1.07897,0.81471,0.71256,0.75189,0.51771,0.97537,2.58943,0.95228,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723
108,18187.9,1.22173,2.73815,1.07781,0.83334,0.68686,0.74671,0.51694,0.97283,2.60554,0.95107,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532
109,18351,1.21209,2.68448,1.0734,0.83209,0.68202,0.74832,0.5184,0.9717,2.62163,0.95055,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
110,18514.6,1.20341,2.71212,1.07211,0.82257,0.68877,0.74606,0.51606,0.97261,2.6162,0.9515,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557
111,18678.7,1.21251,2.68348,1.07451,0.81812,0.69486,0.74657,0.51697,0.97289,2.60743,0.95109,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
112,18842.9,1.20359,2.65544,1.07046,0.82568,0.69251,0.74599,0.51754,0.97091,2.60792,0.9504,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
113,19007.2,1.1959,2.65671,1.0656,0.78032,0.70658,0.74404,0.51897,0.96829,2.6,0.94983,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667
114,19171.5,1.2082,2.69364,1.07375,0.78492,0.71954,0.74753,0.5211,0.96903,2.60928,0.94959,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336
115,19335.8,1.18281,2.58251,1.0658,0.78247,0.71735,0.74839,0.52086,0.96813,2.60266,0.94948,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
116,19498.7,1.19937,2.65296,1.06907,0.76672,0.7324,0.75128,0.52248,0.96596,2.60015,0.94858,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
117,19661.4,1.19067,2.60741,1.06813,0.77181,0.73818,0.75067,0.52317,0.96482,2.60623,0.94868,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287
118,19823.6,1.1992,2.64164,1.07195,0.79502,0.7096,0.75205,0.52768,0.96646,2.60879,0.94962,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
